"id","number","perfs_id","sets_id"
xopobod_01_vsetvoic,01,s2017-cd_vsetvoic,xopobod
xopobod_02_vpotokah,02,s2017-cd_vpotokah,xopobod
xopobod_03_shestsem,03,s2017-cd_shestsem,xopobod
xopobod_04_nesmogna,04,s2017-cd_nesmogna,xopobod
xopobod_05_neradisp,05,s2017-cd_neradisp,xopobod
xopobod_06_uzhenera,06,s2017-cd_uzhenera,xopobod
xopobod_07_naivnopo,07,s2017-cd_naivnopo,xopobod
xopobod_08_gdetytep,08,s2017-cd_gdetytep,xopobod
xopobod_09_pochtina,09,s2017-cd_pochtina,xopobod
xopobod_10_netlubez,10,s2017-cd_netlubez,xopobod
xopobod_11_nezabyva,11,s2017-cd_nezabyva,xopobod
xopobod_12_bezotvet,12,s2017-cd_bezotvet,xopobod
xopobod_13_stenyusv,13,s2017-cd_stenyusv,xopobod
xopobod_14_godshel,14,s2017-cd_godshel,xopobod
xopobod_15_totosego,15,s2017-cd_totosego,xopobod
