id,number,perfs_id,sets_id
eto_01_s1994-s_moekoro1,01,s1994-s_moekoro1,eto
eto_02_s1994-s_moekoro2,02,s1994-s_moekoro2,eto
eto_03_s1994-s_pustyjeb,03,s1994-s_pustyjeb,eto
eto_04_s1995-s_kolybelb,04,s1995-s_kolybelb,eto
eto_05_s1995-s_kogdajab,05,s1995-s_kogdajab,eto
eto_06_s1995-s_zatemzhe,06,s1995-s_zatemzhe,eto
eto_07_s1995-s_japodari,07,s1995-s_japodari,eto
eto_08_s1995-s_itakdruz,08,s1995-s_itakdruz,eto
eto_09_s1995-s_votpodni,09,s1995-s_votpodni,eto
eto_10_s1993-s_izdaleka,10,s1993-s_izdaleka,eto
eto_11_s1993-f_etiglaza,11,s1993-f_etiglaza,eto
eto_12_s1995-s_nichemun,12,s1995-s_nichemun,eto
eto_13_s1992_eschemla,13,s1992_eschemla,eto
eto_14_s1995-s_puskaj,14,s1995-s_puskaj,eto
eto_15_s1994-s_posesche,15,s1994-s_posesche,eto
eto_16_s1994-s_moiraket,16,s1994-s_moiraket,eto
eto_17_s1993_etodolzh,17,s1993_etodolzh,eto
eto_18_s1995-s_moekoro3,18,s1995-s_moekoro3,eto
eto_19_s1993-s_peterbur,19,s1993-s_peterbur,eto
eto_20_s1993-s_farewell,20,s1993-s_farewell,eto
eto_21_s1993-s_panorama,21,s1993-s_panorama,eto
eto_22_s1993-s_prenebre,22,s1993-s_prenebre,eto
eto_23_s1994-s_ksorokon,23,s1994-s_ksorokon,eto
eto_24_s1993-s_ej28let,24,s1993-s_ej28let,eto
eto_25_s1993-s_peshkom,25,s1993-s_peshkom,eto
