"name","id","year","town","with_mls","description",is_studio
"Звукозапись 1984",s1984,1984,Обнинск,true,"Песни 1981-1984 годов (из песен 1984 года Прощальная 1 и Вишнёвое варенье). Дуэты и соло. Некоторые попали на диск Шансон.",true
"Звукозапись 1985",s1985,1985,,,"Предположительноi, конец 1985 года.",true
"Звукозапись 1985 (дубли)",s1986,1985,,,"Предположительно, дубли для звукозаписи конца 1985 года. Номера, объединяемые по тембру звучания. Известно пять номеров.",true
"Звукозапись 1987",s1987,1987,,,"Предположительно, вторая половина 1987 года.",true
"Звукозапись 1989",s1989-e,1989,Москва,true,"Звук — Александр Самовер. Звукозапись сделана, судя по всему, в начале 1989 года либо в конце 1988-го. Соло и дуэты. Кассета Моё королевство и некоторые другие исполнения, похожие по тембру.",true
"Звукозапись 1990",s1990-b1,1990,,,"Звукозапись Игоря Грызлова, видимо, весны-лета 1990 года. Сольные и дуэтные номера.",true
"Звукозапись 1990 (a)",s1990-b2,1990,Москва,true,"Предположительно, отдельная звукозапись",true
"Звукозапись 1990 Мелодия",s1990-a1,1990,Москва,true,,true
"Звукозапись 1991",s1991-e,1991,Москва,нет,"Сольная звукозапись (звук — Игорь Грызлов), сделанная предположительно в начале 1991 года.",true
"Звукозапись 1991 (d)",s1991-d,1991,Москва,true,"Дуэтная звукозапись (звук — Игорь Грызлов), сделанная, предположительно, в первой половине или середине 1991 года.",true
"Звукозапись 1992",s1992,1992,Москва,true,,true
"Звукозапись 1993",s1993,1993,Москва,true,"Набор звукозаписей (звук — Игорь Грызлов) приблизительно середины 1993 года.",true
"Звукозапись 1993 F",s1993-f,1993,Москва,true,"Фортепианные дуэты. Предположительно лето 1993. Звук — Игорь Грызлов",true
"Звукозапись 1993 M",s1993-m,1993,Москва,true,"Металлофонные дуэты. Предположительно начало или середина 1993 года. Звук — Игорь Грызлов",true
"Звукозапись 1993 S",s1993-s,1993,Москва,true,Звук — Игорь Грызлов,true
"Звукозапись 1994 S",s1994-s,1994,Москва,,"Предположительные номера с синтезатором и без. Звук — Игорь Грызлов",true
"Звукозапись 1995 S",s1995-s,1995,,,"Это предположительно. Возможно, такой подборки не существует. Звук — Игорь Грызлов",true
"Звукозапись 1996",s1996-02,1996,,true,"для диска Балаган 2 (1996)",true
"Звукозапись 1996 S",s1996-s,1996,Москва,,"Звукозапись или несколько записей. Звук — Игорь Грызлов.",true
"Звукозапись 1998",s1998-cd,1998,Москва,,"Звукосведение и запись (Звук — Игорь Грызлов) для диска Ложный шаг (Faux pas) и одноимённой (10-й) кассеты.",true
"Звукозапись 1999-2000",s1999-2000-s,1999,Москва,,"Условно объединяемые в один список синтезаторные безгитарные записи, опубликованные на CD Deja и Избранное 1. Звук — Игорь Грызлов. Время записи, вероятно, в основном 1999 год.",true
"Звукозапись 2000",s2000,2000,Москва,true,"Звукозапись. Звук — Игорь Грызлов. Без синтезатора.",true
"Звукозапись 2001",s2001-s,2001,Москва,,"Условная подборка из номеров, вышедших на диске Once. Звук — Игорь Грызлов. Песни Диктант, Корчма, Марш кротов и Австралия на диске Once записаны не позднее 1999 года (выходили на диске Избранное ч. 1). Возможно, запись и этих номеров происходила раньше 2001 года.",true
"Звукозапись 2002",s2002-cd,2002,Москва,,"Условная подборка. Звук — Игорь Грызлов. Номера вышли на Диске Если.",true
"Звукозапись 2003",s2003-s,2003,Москва,,"Условная подборка. Звук — Игорь Грызлов. Номера вышли на дисках Пешком с востока и Предположим.",true
"Звукозапись 2004-2005",s2004-2005-cd,2004,Москва,,"Условная подборка. Звук — Игорь Грызлов. Номера вышли на Диске Целое лето (2005).",true
"Звукозапись 2005",s2005-cd,2005,Москва,,"Условная подборка. Звук — Игорь Грызлов. Номера вышли на Диске Райцентр",true
"Звукозапись 2008-2010",s2008-2010-cd,2010,Москва,,"Условная подборка. Звук — Игорь Грызлов. Номера вышли на диске Чужая музыка и не только. Часть 1.",true
"Звукозапись 2013",s2013-cd,2013,Москва,,"Условная подборка. Звук — Коршакевич, С. Павленко. Номера вышли на Диске Чужая музыка и не только. Часть 2.",true
"Звукозапись 2015",s2015-cd,2015,,,"Условная подборка. Звук — С. Павленко. Номера вышли на диске Чужая музыка и не только. Часть 3.",true
"Звукозапись 2017",s2017-cd,2017,,,"Условная подборка. Звук — С. Павленко. Запись до 2017 года. Номера вышли на диске Хоровод.",true
"Звукозапись 2019",s2019-s,2019,,,,true
"Звукозапись 2023",s2023,2023,Москва,нет,"Псевдособытие. Серия сеансов набора секвенций на синтезаторе Ensoniq в 2023 году и ранее. Запись голоса и сведение в мастер-файл С. Павленко (Минск, Беларусь).",true
